course_id,visibility,sphere,course_format,title,short_description,learning_outcomes,difficulty_level,duration_hours,modules_count,lessons_count,practice_format,mentor_name,primary_skill,related_skills,course_status,certificate,last_activity_days_ago
#CR00001,Приватный,Backend,engineering intensive,Webhook Reliability Engineering,"Курс по проектированию надежной webhook-платформы с replay, идемпотентностью и проверкой подписей.","Разберешь прием событий, retries, deduplication и расследование падений в интеграциях.",intermediate,24,7,21,event ingestion labs,Глеб Морозов,Backend,Backend | Security | DevOps,updating,yes,16
#CR00002,Приватный,Frontend,frontend lab,Collaborative Analytics Interfaces,"Курс по созданию дашбордов, где команды не только смотрят графики, но и вместе принимают решения.","Разберешь presence, comments, shared state и UX-паттерны коллективной работы с метриками.",advanced,16,10,60,real-time collaboration builds,Арсений Соколова,Frontend,Frontend | UX/UI Design | Data Science,recording,no,10
#CR00003,Публичный,UX/UI Design,micro-course,Public Service Kiosk UX,"Короткий курс по интерфейсам терминалов, зон самообслуживания и public-facing сервисов.","Поймешь, как учитывать очередь, приватность, мультиязычность и низкую цифровую уверенность пользователей.",beginner,12,5,25,scenario mapping and prototype testing,Полина Захаров,UX/UI Design,UX/UI Design | Frontend | Security,updating,yes,1
#CR00004,Приватный,AI / ML,cohort course,Computer Vision for Retail Ops,"Практика по CV-моделям для контроля полок, выкладки и фото-аудита магазинов.",Сможешь построить pipeline от сбора изображений до продуктовой метрики и операционного действия в ритейле.,advanced,8,7,42,image labeling and store audit projects,Дарья Павлова,AI / ML,AI / ML | Data Science | Mobile,published,yes,12
#CR00005,Приватный,GameDev,health game lab,Rehab Games and Motion Feedback,Курс о реабилитационных игровых продуктах с отслеживанием движений и мотивацией пациента.,"Разберешь, как соединять motion-feedback, прогрессию и терапевтические ограничения без вредной геймификации.",beginner,20,5,25,health gameplay prototype labs,Мария Смирнов,GameDev,GameDev | Mobile | AI / ML,published,yes,20
#CR00006,Публичный,AI / ML,product course,AI Tutors for Learning Platforms,"Курс по персонализации обучения, AI-подсказкам и траекториям развития в EdTech.","Сможешь собирать образовательные AI-сценарии так, чтобы они усиливали методологию, а не подменяли ее.",beginner,32,5,20,learning path experiments,Екатерина Белов,AI / ML,AI / ML | Data Science | UX/UI Design,recording,yes,19
#CR00007,Приватный,UX/UI Design,intensive,Accessibility-first Product Design,"Практический курс по доступности, контрасту, ошибкам форм, фокусу и сценариям для разных групп пользователей.","Сможешь проектировать потоки, которые проходят WCAG-проверки и при этом не теряют в конверсии и ясности.",advanced,40,7,35,audit workshops and redesign tasks,Татьяна Степанова,UX/UI Design,UX/UI Design | Frontend | Security,planned,no,9
#CR00008,Приватный,Data Science,education analytics course,Early Warning Analytics in EdTech,"Курс о сигналах риска отчисления, вовлеченности и удержания студентов в цифровом обучении.","Поймешь, как строить predictive retention models и передавать выводы кураторам в полезной форме.",intermediate,24,10,40,student retention modeling,Даниил Егоров,Data Science,Data Science | AI / ML | UX/UI Design,planned,yes,9
#CR00009,Публичный,DevOps,cloud economics course,FinOps Gates in CI/CD,"Курс о том, как встроить cost awareness в delivery pipeline и инженерные решения.","Сможешь оценивать облачные расходы до релиза и строить cost policies, которые не тормозят команды.",advanced,40,9,27,pipeline cost policy projects,Тимур Козлова,DevOps,DevOps | Data Science | Backend,recording,yes,2
#CR00010,Публичный,Frontend,tooling workshop,Frontend QA Overlays,"Курс о браузерных слоях проверки дизайна, accessibility и токенов поверх уже работающего интерфейса.",Сможешь создавать утилиты ревью для продуктовых команд без тяжелого ручного сравнения макетов и верстки.,intermediate,40,6,18,browser extension and overlay labs,Олег Тарасова,Frontend,Frontend | UX/UI Design | Backend,planned,no,21
#CR00011,Публичный,Backend,architecture course,Multi-tenant SaaS Provisioning,Обучение backend-решениям для масштабирования SaaS без ручного создания окружений и политик.,"Научишься строить provisioning-потоки для новых клиентов, ролей, интеграций и дефолтных настроек.",intermediate,40,5,30,tenant setup automation projects,Вероника Кузнецов,Backend,Backend | DevOps | Security,recording,yes,15
#CR00012,Публичный,DevOps,platform engineering bootcamp,Build Your Internal Developer Platform,"Курс о построении IDP с шаблонами сервисов, каталогом владения и self-service delivery.","Научишься собирать golden paths, измерять adoption и делать платформу полезной для разработчиков, а не только правильной по документам.",advanced,16,4,16,service template and catalog labs,Елизавета Жукова,DevOps,DevOps | Backend | Frontend,recording,yes,14
#CR00013,Публичный,Backend,professional program,Workflow Engines for Enterprise Teams,"Курс по backend-движкам согласований, state machine и SLA-маршрутам.","Сможешь проектировать управляемые маршруты заявок, эскалации и историю решений для длинных процессов.",intermediate,20,9,27,workflow modeling and policy labs,Роман Морозов,Backend,Backend | Frontend | Security,updating,yes,12
#CR00014,Публичный,UX/UI Design,applied workshop,Ops UI for Field Teams,"Обучение проектированию интерфейсов для выездных ролей, перегруженных сценариев и стрессовых условий.","Научишься делать calm interface, где нет лишних шагов, а ошибки пользователя минимизируются архитектурой сценария.",beginner,8,9,27,mobile flow redesign and field simulations,Даниил Морозов,UX/UI Design,UX/UI Design | Mobile | Frontend,published,no,14
#CR00015,Публичный,Backend,security engineering course,Audit Logs and Evidence Systems,"Курс о backend-журналах событий как об инструменте доверия, расследования и compliance.","Научишься проектировать неизменяемые логи, provenance и поисковые интерфейсы для доказательной базы.",beginner,16,5,15,forensics-oriented logging labs,Михаил Макаров,Backend,Backend | Security | Frontend,recording,no,18
#CR00016,Публичный,GameDev,game design bootcamp,Cybersecurity Serious Games,Курс о создании кооперативных тренажеров по кибербезопасности и инцидентам.,"Научишься превращать обучение командам в симуляции ролей, решений, ошибок и разборов после игры.",intermediate,8,6,24,role-based incident game prototypes,Виктория Попова,GameDev,GameDev | Security | UX/UI Design,recording,yes,1
#CR00017,Приватный,Mobile,health product course,Care Coordination Apps,"Курс о мобильных приложениях для ухода за пожилыми людьми, координации семьи и журналов самочувствия.","Разберешь чувствительные данные, сценарии напоминаний, делегирование задач и устойчивость к реальному бытовому хаосу.",intermediate,20,4,16,care workflow mapping and app prototyping,Анна Павлова,Mobile,Mobile | Backend | Security,updating,yes,28
#CR00018,Публичный,Data Science,niche analytics workshop,Esports Roster Analytics,"Необычный курс по аналитике составов, ролей и совместимости игроков в киберспортивных командах.",Научишься работать с игровыми метриками и behavioral-паттернами для сборки более устойчивого ростера.,advanced,12,7,28,roster strategy case studies,Татьяна Кузнецов,Data Science,Data Science | GameDev | Frontend,planned,yes,15
#CR00019,Публичный,Backend,systems course,Legacy-to-SaaS Sync Architecture,Программа о синхронизации данных между старыми системами и современными SaaS-продуктами.,"Поймешь, как строить очереди, трансформацию схем, reconciliation и наблюдаемость на переходных архитектурах.",beginner,12,10,40,integration mapping and sync simulations,Арсений Семенов,Backend,Backend | DevOps | Data Science,published,yes,20
#CR00020,Приватный,Mobile,startup course,Mobile Products for Quiet Travel,"Курс по мобильным travel-продуктам, которые помогают находить локальные маршруты без туристического шума.","Научишься проектировать геосценарии, локальные рекомендации и опыт поездки, построенный не вокруг самых очевидных мест.",advanced,12,6,30,travel app concept sprints,Арина Семенов,Mobile,Mobile | UX/UI Design | Data Science,planned,no,12
#CR00021,Публичный,Mobile,applied mobile workshop,Pet Health Utility Apps,Практика по созданию everyday mobile products для здоровья и истории питомцев.,"Сможешь собирать мобильный продукт, который решает повседневную рутину владельца, клиники и выездного специалиста.",advanced,32,5,25,record systems and reminder design,Арина Петров,Mobile,Mobile | Backend | UX/UI Design,updating,no,12
#CR00022,Приватный,Security,security strategy course,Trust and Verification for Documents,"Курс о проверке происхождения документов, deepfake-рисках и доверии к операциям в B2B-продуктах.","Поймешь, как строить верификацию запроса, контекста и подлинности документа в новых угрозах.",intermediate,24,4,20,document trust case studies,Юлия Егоров,Security,Security | AI / ML | Backend,planned,yes,23
#CR00023,Публичный,Mobile,sustainability product course,Food Rescue Mobile Platforms,"Курс по мобильным сценариям спасения еды через геолокацию, тайминг и локальную экономику участия.","Сможешь делать продукты, которые помогают бизнесу снижать списания, а пользователям быстро находить полезные предложения рядом.",intermediate,16,4,12,geo-discovery and redemption workflows,Мария Петров,Mobile,Mobile | Data Science | Backend,published,yes,16
#CR00024,Приватный,Mobile,community builder program,Local Community Apps,"Курс о мобильных продуктах для соседей, локальных сервисов, доверия и обмена ресурсами.","Научишься проектировать верификацию, репутацию и переход из онлайна в офлайн-полезность.",advanced,16,4,24,trust mechanics and community flow labs,Максим Тарасова,Mobile,Mobile | Security | UX/UI Design,recording,yes,6
#CR00025,Публичный,Data Science,simulation course,Decision Simulators for Pricing and Capacity,"Курс по продуктам, которые моделируют тарифы, загрузку и поведение пользователей до запуска новой политики.",Научишься строить what-if модели и превращать их в понятный инструмент для бизнеса и операторов.,beginner,8,6,24,scenario modeling workshops,Иван Волков,Data Science,Data Science | Frontend | Backend,recording,no,30
#CR00026,Приватный,GameDev,serious simulation course,Simulation Games for Operations Training,"Курс по игровым симуляторам для складов, логистики и операционных ролей.","Разберешь loops, progression и сценарии перегруза, которые делают обучение ближе к реальности.",beginner,12,10,30,ops simulation balancing labs,Дарья Соколова,GameDev,GameDev | Data Science | Backend,recording,no,8
#CR00027,Публичный,Frontend,studio intensive,Infinite Canvas Product Design,"Программа про нелинейные рабочие интерфейсы, пространственное мышление и конструкторы на бесконечном холсте.","Научишься выбирать, когда canvas полезен, а когда он только добавляет хаос пользователю.",advanced,40,10,50,canvas prototyping and interaction labs,Илья Семенов,Frontend,Frontend | UX/UI Design | AI / ML,planned,yes,29
#CR00028,Публичный,DevOps,security ops course,Secrets Rotation as a Platform Capability,Курс о централизованной ротации ключей и секретов без ночных ручных операций.,"Научишься проектировать жизненный цикл секретов, интеграции с хранилищами и безопасные rollout-стратегии.",advanced,8,9,45,secret lifecycle labs,Елизавета Белов,DevOps,DevOps | Security | Backend,published,no,17
#CR00029,Приватный,GameDev,creative platform course,UGC Worlds for Culture and Museums,"Программа о конструкторах, где кураторы и культурные институции сами собирают интерактивные миры.","Поймешь, как проектировать creator tools, шаблоны контента и безопасные пользовательские сценарии публикации.",intermediate,16,8,48,ugc editor and curation projects,Вероника Волков,GameDev,GameDev | Frontend | UX/UI Design,planned,no,26
#CR00030,Публичный,Security,technical lab,IoT Trust Graphs,"Программа о графовом анализе доверия между устройствами, прошивками и сетевыми отношениями.",Сможешь строить security graph и использовать его для выявления слабых зон IoT-инфраструктуры.,beginner,40,8,40,device relationship graph labs,Михаил Волков,Security,Security | Data Science | Frontend,planned,no,26
#CR00031,Публичный,UX/UI Design,studio course,Crisis-mode Interface Design,"Курс о специальных UI-режимах для штабов, диспетчерских и команд, работающих с инцидентами.","Соберешь интерфейс для перегрузки, ночной работы и приоритезации без потери контекста.",intermediate,24,10,60,incident-room interface labs,Илья Васильев,UX/UI Design,UX/UI Design | Frontend | Backend,recording,yes,3
#CR00032,Публичный,Frontend,map UI course,Geospatial Frontends for Operations,"Программа по интерфейсам для логистики, маршрутов, зон покрытия и сервисных команд.","Научишься проектировать карты, которые показывают не только геометрию, но и реальную операционную логику.",intermediate,8,10,60,map workflows and dispatch simulations,Надежда Петров,Frontend,Frontend | Backend | Data Science,updating,no,29
#CR00033,Публичный,AI / ML,professional course,Explainable AI for Regulated Domains,"Обучение построению объяснимых моделей и интерфейсов доверия для юр-, фин- и healthtech-продуктов.","Разберешь confidence, evidence, review loops и способы встраивания человека в критичный ML-процесс.",intermediate,8,10,30,risk explanation workshops,Екатерина Захаров,AI / ML,AI / ML | Security | Backend,published,no,20
#CR00034,Приватный,AI / ML,bootcamp,Voice AI Product Builder,Курс по созданию голосовых AI-ассистентов для сервисных и медицинских сценариев.,"Научишься проектировать диалог, собирать guardrails, мерить точность и безопасно внедрять voice AI в реальные процессы.",advanced,20,5,15,agent prototyping and call-flow labs,Елизавета Лебедева,AI / ML,AI / ML | Backend | Data Science,recording,no,29
#CR00035,Публичный,Security,advanced workshop,Deception Engineering for Data Rooms,"Курс о honeytokens, ложных объектах и наблюдении за поведением в приватных хранилищах данных.","Разберешь, как deception-техники помогают раньше замечать утечки и подозрительные цепочки действий.",beginner,40,9,54,deception scenario design,Татьяна Павлова,Security,Security | Backend | Frontend,updating,yes,29
#CR00036,Публичный,Data Science,mission-driven program,Impact Optimization for Nonprofits,"Курс по аналитике распределения помощи, донорских ограничений и оценки эффекта программ.",Сможешь использовать модели оптимизации и прозрачности для сложных решений в фондах и НКО.,intermediate,8,10,30,resource allocation case labs,Лев Павлова,Data Science,Data Science | Backend | Security,published,no,28
#CR00037,Публичный,AI / ML,applied lab,Anomaly Detection to Action,"Курс о том, как из детекции аномалии сделать понятную операционную рекомендацию, а не просто алерт.","Научишься связывать модели аномалий с продуктовой логикой, наблюдаемостью и decision workflows.",advanced,12,9,36,signal analysis and incident playbooks,Никита Волков,AI / ML,AI / ML | Data Science | Frontend,recording,no,29
#CR00038,Приватный,Frontend,workflow design course,Async Review Interfaces for Media Teams,"Курс о продуктах для асинхронного ревью контента, медиа и креативных материалов.","Разберешь тайм-коды, комментарии, версии и workflow-переходы в интерфейсах для распределенных команд.",advanced,32,6,24,content review tool projects,Мария Федорова,Frontend,Frontend | UX/UI Design | Mobile,published,yes,8
#CR00039,Публичный,GameDev,learning game workshop,Language Learning Through Social Play,"Курс по игровым продуктам, где язык осваивается через ролевые микро-сцены и совместные задачи.","Сможешь строить мотивацию через interaction design, а не только через streaks и карточки.",advanced,24,7,35,dialogue scene prototyping,Алина Николаева,GameDev,GameDev | Mobile | AI / ML,updating,no,23
#CR00040,Публичный,Data Science,applied analytics course,Forecasting Food Surplus,Курс по прогнозированию излишков продуктов и построению систем спасения еды на основе данных.,"Сможешь оценивать не только спрос, но и будущие списания, перераспределение и timing выгодных действий.",intermediate,24,6,24,retail forecasting projects,Максим Жукова,Data Science,Data Science | Backend | Mobile,updating,no,3
#CR00041,Приватный,Frontend,product frontend course,Interfaces for Experiment Analysis,"Курс по интерфейсам для чтения A/B-экспериментов, выводов и продуктовых решений.","Поймешь, как показывать статистику, uncertainty и обсуждение так, чтобы команда принимала решения осознанно.",beginner,12,7,35,experiment reading workspace projects,Максим Жукова,Frontend,Frontend | Data Science | UX/UI Design,recording,no,30
#CR00042,Публичный,Data Science,domain course,Energy Load Forecasting for Product Teams,"Обучение предиктивной аналитике для энергосистем, зданий и локальных сетей.","Разберешь сигналы нагрузки, горизонты прогноза, ошибки модели и внедрение прогноза в рабочие процессы.",advanced,32,10,30,time-series labs and dashboard tasks,Никита Петров,Data Science,Data Science | AI / ML | Frontend,recording,yes,20
#CR00043,Публичный,Backend,advanced seminar,Event-driven Architecture Without Cargo Cult,"Курс помогает понять, когда событийная архитектура действительно нужна, а когда проще остаться на синхронной модели.","Сможешь принимать архитектурные решения по сложности, latency, retries и границам ответственности сервисов.",intermediate,24,4,16,architecture tradeoff reviews,Татьяна Орлова,Backend,Backend | DevOps | Frontend,updating,no,4
#CR00044,Публичный,AI / ML,advanced intensive,Vertical AI Agents in B2B,"Курс о проектировании узких AI-агентов для закупок, логистики, compliance и внутренних операций.","Поймешь, как задавать scope агенту, учить его работать с системой, а не просто красиво отвечать в чате.",advanced,8,9,27,agent workflow design and eval labs,Полина Федорова,AI / ML,AI / ML | Backend | DevOps,published,no,3
#CR00045,Приватный,UX/UI Design,cohort course,Design Systems Governance,"Курс о том, как поддерживать дизайн-систему живой в нескольких продуктах и командах.","Разберешь токены, versioning, ownership, review-процессы и политику принятия изменений без бесконечных конфликтов.",beginner,12,8,32,component governance simulations,Полина Белов,UX/UI Design,UX/UI Design | Frontend | DevOps,updating,no,6
#CR00046,Публичный,Security,blue team intensive,AiTM Phishing Detection and Containment,Обучение новым защитным подходам против adversary-in-the-middle атак и кражи сессий после MFA.,"Разберешь сигналы AiTM, token theft, proxy indicators и сценарии containment для продуктовых и security-команд.",advanced,8,8,40,phishing incident simulations,Олег Орлова,Security,Security | Backend | Data Science,published,no,14
#CR00047,Публичный,GameDev,strategy design course,Systems Strategy for Sustainable Cities,"Курс о city-builder играх, объясняющих энергетику, отходы, транспорт и общественное доверие.","Научишься превращать сложные системные компромиссы в правила, баланс и понятную динамику игры.",advanced,16,9,54,systems balancing and policy loops,Юлия Павлова,GameDev,GameDev | Data Science | Frontend,updating,yes,23
#CR00048,Приватный,DevOps,resilience workshop,Disaster Recovery Rehearsals,Практика по построению и репетиции DR-сценариев для платформ и критичных сервисов.,"Поймешь, как переводить recovery-планы в расписание тестов, ролей, критериев успеха и доказательств готовности.",beginner,32,9,36,failover drills and recovery runbooks,Олег Козлова,DevOps,DevOps | Security | Backend,planned,no,26
#CR00049,Публичный,Security,identity engineering course,Passkey-first Identity Design,Курс о внедрении passwordless-аутентификации и доверия к устройствам в реальном продукте.,"Сможешь проектировать passkey user flows, recovery-пути и rollout в организациях с разным уровнем зрелости.",advanced,32,4,16,identity flow design and rollout plans,Дарья Козлова,Security,Security | Backend | Mobile,published,yes,19
#CR00050,Публичный,Mobile,creator economy course,Finance Sidekicks for Creators,"Курс по мобильным финансовым продуктам для фрилансеров, креаторов и людей с неровным доходом.","Поймешь, как проектировать финансовые подсказки, прогнозы кассовых провалов и простые налоговые сценарии.",intermediate,24,7,42,cashflow insight prototypes,Дарья Иванова,Mobile,Mobile | Data Science | Backend,recording,no,18
#CR00051,Приватный,DevOps,governance course,Automated Compliance Evidence,"Курс по автоматическому сбору доказательств для аудитов из CI/CD, IaC и облачной инфраструктуры.",Сможешь собирать evidence pipelines и готовить системы к проверкам без ручной паники перед дедлайном.,intermediate,12,5,20,audit evidence automation projects,Даниил Соколова,DevOps,DevOps | Security | Frontend,planned,yes,28
#CR00052,Приватный,Security,governance workshop,Privilege Drift Monitoring,Курс по мониторингу лишних и опасных прав в SaaS и cloud-среде.,"Научишься выявлять drift, токсичные сочетания ролей и скрытую эскалацию привилегий.",beginner,24,7,35,access graph reviews,Татьяна Волков,Security,Security | DevOps | Data Science,published,yes,29
#CR00053,Публичный,UX/UI Design,bootcamp,Adaptive UX Systems,"Курс о проектировании интерфейсов, которые меняются под контекст, доступность и уровень уверенности пользователя.","Научишься собирать адаптивные сценарии, задавать правила поведения интерфейса и проверять, не стал ли продукт непредсказуемым.",beginner,16,10,40,design labs and usability critiques,Михаил Лебедева,UX/UI Design,UX/UI Design | Frontend | AI / ML,updating,yes,17
#CR00054,Публичный,DevOps,SRE course,Auto-remediation and SLO Workflows,Программа по безопасной автоматизации реакций на инциденты и деградацию сервисов.,"Разберешь SLO, guardrails, rollback-паттерны и автоматические runbook-сценарии без неконтролируемой магии.",advanced,20,8,32,incident simulations and safe automation labs,Роман Кузнецов,DevOps,DevOps | Backend | Security,planned,no,14
